Selling_Price,List_Price,Area,Acres,Age,Taxes,Rooms,Bedrooms,Baths_full
400000,414000,2704,2.27,27,4920,9,3,3
370000,379000,2096,0.75,21,4113,8,4,2
382500,389900,2737,1,36,6072,9,4,2
300000,299900,1800,0.43,34,4024,8,4,2
305000,319900,1066,3.6,69,3562,6,3,2
320000,319900,1820,1.7,34,4672,7,3,2
321000,328900,2700,0.81,35,3645,8,3,1
445000,450000,2316,2,19,6256,9,4,2
377500,385000,2448,1.5,40,5469,9,4,3
460000,479000,3040,1.09,20,6740,10,4,2
265000,275000,1500,1.6,39,4046,6,2,2
299000,299000,1448,0.42,44,3481,7,3,1
385000,379000,2400,0.89,33,4411,9,4,3
430000,435000,2200,4.79,6,5714,8,4,2
214900,219900,1635,0.25,49,2560,5,3,1
475000,485000,2224,11.58,21,7885,7,3,2
280000,289000,1738,0.46,49,3011,8,3,2
457000,499900,3432,1.84,14,9809,11,4,3
210000,224900,1175,0.94,64,1367,7,3,1
272500,274900,1393,1.39,44,2317,6,3,1
268000,275000,1196,0.83,44,3360,4,2,1
300000,319900,1860,0.57,32,4294,9,3,2
477000,479000,3867,1.1,19,9135,10,4,4
292000,294900,1800,0.52,47,3690,8,2,1
379000,383900,2722,1,29,6283,10,4,3
295000,299900,2240,0.9,144,3286,6,3,1
499000,499000,2174,5.98,62,3894,6,3,2
292000,299000,1650,2.93,52,3476,7,3,1
305000,299900,2000,0.33,36,4146,8,3,3
520000,529700,3350,1.53,6,8350,11,4,2
308000,320000,1776,0.63,42,4584,8,4,2
316000,310000,1850,2,25,4380,7,3,2
355500,362500,2600,0.44,46,4009,10,5,2
225000,229000,1300,0.62,49,3047,6,3,1
270000,290000,1352,0.68,24,2801,6,3,1
253000,259900,1312,0.68,44,4048,6,2,1
310000,314900,1664,1.69,53,2940,6,3,2
300000,309900,1700,0.83,33,4281,8,4,2
295000,295000,1650,2.9,34,4299,6,2,2
478000,479000,2400,2.14,6,6688,8,4,2
